Id	InstrumentId	InstrumentMapping	InstrumentMappingId	Isin	Isin_Status	Desc	Issuer	IssuerId	IssuerType	MarketId	ParValue	SecurityType	SecurityTypeStr	Status	StatusStr	TermCode	Ticker	Type	TypeStr	PriceMultiplier	ExternalId	ExternalSource	DeliveryMethod	Eligibility	ErrorMsg	ErrorFlag	DateStart	DateStop	DateSettl	DateSettl_Status	DateIssue	Currency	CurrencyStr	CurrencyDefaultFlag	Date	Country	Code	CodeType
T82	T82	"ALL.CM_INSTRUMENT.ACM.0_2_DE0001143295_0_,ALL.CM_INSTRUMENT.MPP.DE0001143295"	ACM=0_2_DE0001143295_0_|MPP=DE0001143295	DE0001143295	0	DBRS 04/07/26	BUNDESREPUB. DEUTSCHLAND	15	Government		0	2	Cash	40	Open		DBRS	2	Cash	0.01	DE0001143295				<ValidationErr><ValidationWarn>	0	0	0	20170727	128	19970704	1	EUR	0	20170724	DE	GG7291964	1
C370	C370	"ALL.CM_INSTRUMENT.ACM.0_2_INACTIVEISIN_0_,ALL.CM_INSTRUMENT.MPP.INACTIVEISIN"	ACM=0_2_INACTIVEISIN_0_|MPP=INACTIVEISIN	INACTIVEISIN	0	INACTIVE INSTRUMENT	UNKN	48			0	2	Cash	40	Open		T	2	Cash	0.01	INACTIVEISIN				<ValidationErr><ValidationWarn>	0	0	0	20170724	128	19950815	2	USD	0	20170724	US	INACTIVEISIN	2
T24	T24	"ALL.CM_INSTRUMENT.ACM.0_2_AT0000384045_0_,ALL.CM_INSTRUMENT.MPP.AT0000384045"	ACM=0_2_AT0000384045_0_|MPP=AT0000384045	AT0000384045	0	RAGBS 15/07/14 JL27	REPUBLIC OF AUSTRIA	1	Government		0	2	Cash	40	Open		RAGBS	2	Cash	0.01	AT0000384045				<ValidationErr><ValidationWarn>	0	0	0	20140715	128	19970711	1	EUR	0	20170724	US	GG7292764	1
T25	T25	"ALL.CM_INSTRUMENT.ACM.0_2_AT0000384052_0_,ALL.CM_INSTRUMENT.MPP.AT0000384052"	ACM=0_2_AT0000384052_0_|MPP=AT0000384052	AT0000384052	0	RAGBS 15/07/15 JL27	REPUBLIC OF AUSTRIA	1	Government		0	2	Cash	40	Open		RAGBS	2	Cash	0.01	AT0000384052				<ValidationErr><ValidationWarn>	0	0	0	20150715	128	19970711	1	EUR	0	20170724	US	GG7292772	1
T32	T32	"ALL.CM_INSTRUMENT.ACM.0_2_BE0000282880_0_,ALL.CM_INSTRUMENT.MPP.BE0000282880"	ACM=0_2_BE0000282880_0_|MPP=BE0000282880	BE0000282880	0	BGB 8.0 03/28/15	BELGIUM KINGDOM	5	Government		0	2	Cash	40	Open		BGB	2	Cash	0.01	COGG7256025				<ValidationErr><ValidationWarn>	0	0	0	20150328	128	19950629	1	EUR	0	20170724	BE	GG7256025	1
T33	T33	"ALL.CM_INSTRUMENT.ACM.0_2_BE0000291972_0_,ALL.CM_INSTRUMENT.MPP.BE0000291972,ALL.CM_INSTRUMENT.SDS.0_2_BE0000291972_0_"	ACM=0_2_BE0000291972_0_|MPP=BE0000291972|SDS=0_2_BE0000291972_0_	BE0000291972	0	BGB 5.5 03/28/28	BELGIUM KINGDOM	5	Government		0	2	Cash	40	Open		BGB	2	Cash	0.01	COGG7379504				<ValidationErr><ValidationWarn>	0	0	0	20170724	128	19980226	1	EUR	0	20170724	BE	GG7379504	1
T91	T91	"ALL.CM_INSTRUMENT.ACM.0_2_CP5061421_0_,ALL.CM_INSTRUMENT.ACM.0_2_ES0000011967_0_,ALL.CM_INSTRUMENT.MPP.ES0000011967"	"ACM=0_2_CP5061421_0_,0_2_ES0000011967_0_|MPP=ES0000011967"	ES0000011967	0	SPGBS ZERO 01/22	BON Y OBLIG ESTADO STRIP	19	Government		0	2	Cash	40	Open		SPGBS	2	Cash	0.01	ES0000011967				<ValidationErr><ValidationWarn>	0	0	0	20170724	128	19980505	1	EUR	0	20170724	ES	CP5061421	1
T42	T42	"ALL.CM_INSTRUMENT.ACM.0_2_DE0001030500_0_,ALL.CM_INSTRUMENT.MPP.DE0001030500"	ACM=0_2_DE0001030500_0_|MPP=DE0001030500	DE0001030500	0	DBRI 1.5 04/15/16	DEUTSCHLAND I/L BOND	11	Government		0	2	Cash	40	Open		DBRI	2	Cash	0.01	COEF3134212				<ValidationErr><ValidationWarn>	0	0	0	20160415	128	20060315	1	EUR	0	20170724	DE	EF3134212	1
T46	T46	"ALL.CM_INSTRUMENT.ACM.0_2_DE0001134468_0_,ALL.CM_INSTRUMENT.MPP.DE0001134468"	ACM=0_2_DE0001134468_0_|MPP=DE0001134468	DE0001134468	0	DBR 6.0 06/20/16	BUNDESREPUB. DEUTSCHLAND	15	Government		0	2	Cash	40	Open		DBR	2	Cash	0.01	COZZ2071012				<ValidationErr><ValidationWarn>	0	0	0	20160620	128	19860620	1	EUR	0	20170724	DE	ZZ2071012	1
T48	T48	"ALL.CM_INSTRUMENT.ACM.0_2_DE0001134922_0_,ALL.CM_INSTRUMENT.MPP.DE0001134922,ALL.CM_INSTRUMENT.SDS.0_2_DE0001134922_0_,ALL.CM_INSTRUMENT.ASTP.CASH_2_DE0001134922_0"	ACM=0_2_DE0001134922_0_|MPP=DE0001134922|SDS=0_2_DE0001134922_0_|ASTP=CASH_2_DE0001134922_0	DE0001134922	0	DBR 6.25 01/04/24	BUNDESREPUB. DEUTSCHLAND	15	Government		0	2	Cash	40	Open		DBR	2	Cash	0.01	COGG7182429				<ValidationErr><ValidationWarn>	0	0	0	20170724	128	19940104	1	EUR	0	20170724	DE	GG7182429	1
T49	T49	"ALL.CM_INSTRUMENT.ACM.0_2_DE0001135044_0_,ALL.CM_INSTRUMENT.MPP.DE0001135044,ALL.CM_INSTRUMENT.SDS.0_2_DE0001135044_0_"	ACM=0_2_DE0001135044_0_|MPP=DE0001135044|SDS=0_2_DE0001135044_0_	DE0001135044	0	DBR 6.5 07/04/27	BUNDESREPUB. DEUTSCHLAND	15	Government		0	2	Cash	40	Open		DBR	2	Cash	0.01	COGG7291790				<ValidationErr><ValidationWarn>	0	0	0	20170724	128	19970704	1	EUR	0	20170724	DE	GG7291790	1
T50	T50	"ALL.CM_INSTRUMENT.ACM.0_2_DE0001135069_0_,ALL.CM_INSTRUMENT.MPP.DE0001135069,ALL.CM_INSTRUMENT.SDS.0_2_DE0001135069_0_"	ACM=0_2_DE0001135069_0_|MPP=DE0001135069|SDS=0_2_DE0001135069_0_	DE0001135069	0	DBR 5.625 01/04/28	BUNDESREPUB. DEUTSCHLAND	15	Government		0	2	Cash	40	Open		DBR	2	Cash	0.01	COGG7293994				<ValidationErr><ValidationWarn>	0	0	0	20170724	128	19980123	1	EUR	0	20170724	DE	GG7293994	1
T51	T51	"ALL.CM_INSTRUMENT.ACM.0_2_DE0001135085_0_,ALL.CM_INSTRUMENT.MPP.DE0001135085"	ACM=0_2_DE0001135085_0_|MPP=DE0001135085	DE0001135085	0	DBR 4.75 07/04/28	BUNDESREPUB. DEUTSCHLAND	15	Government		0	2	Cash	40	Open		DBR	2	Cash	0.01	COEC0518513				<ValidationErr><ValidationWarn>	0	0	0	20170724	128	19981009	1	EUR	0	20170724	DE	EC0518513	1
T52	T52	"ALL.CM_INSTRUMENT.ACM.0_2_DE0001135143_0_,ALL.CM_INSTRUMENT.MPP.DE0001135143"	ACM=0_2_DE0001135143_0_|MPP=DE0001135143	DE0001135143	0	DBR 6.25 01/04/30	BUNDESREPUB. DEUTSCHLAND	15	Government		0	2	Cash	40	Open		DBR	2	Cash	0.01	COEC2153012				<ValidationErr><ValidationWarn>	0	0	0	20170724	128	20000121	1	EUR	0	20170724	DE	EC2153012	1
T54	T54	"ALL.CM_INSTRUMENT.ACM.0_2_DE0001135176_0_,ALL.CM_INSTRUMENT.MPP.DE0001135176"	ACM=0_2_DE0001135176_0_|MPP=DE0001135176	DE0001135176	0	DBR 5.5 01/04/31	BUNDESREPUB. DEUTSCHLAND	15	Government		0	2	Cash	40	Open		DBR	2	Cash	0.01	COEC3022802				<ValidationErr><ValidationWarn>	0	0	0	20170724	128	20001027	1	EUR	0	20170724	DE	EC3022802	1
T53	T53	"ALL.CM_INSTRUMENT.ACM.0_2_DE0001135218_0_,ALL.CM_INSTRUMENT.AFPM.0_2_DE0001135218_0_,ALL.CM_INSTRUMENT.MPP.DE0001135218"	ACM=0_2_DE0001135218_0_|AFPM=0_2_DE0001135218_0_|MPP=DE0001135218	DE0001135218	0	DBR 4.5 01/04/13	Germany	13			0	2	Cash	40	Open		DBR	2	Cash	0.01	COEC8049065				<ValidationErr><ValidationWarn>	0	0	0	20130104	128	20030110	1	EUR	0	20170724	DE	EC8049065	1
T58	T58	"ALL.CM_INSTRUMENT.ACM.0_2_DE0001135366_0_,ALL.CM_INSTRUMENT.MPP.DE0001135366"	ACM=0_2_DE0001135366_0_|MPP=DE0001135366	DE0001135366	0	DBR 4.75 07/04/40	BUNDESREPUB. DEUTSCHLAND	15	Government		0	2	Cash	40	Open		DBR	2	Cash	0.01	COEH4697106				<ValidationErr><ValidationWarn>	0	0	0	20170724	128	20080725	1	EUR	0	20170724	DE	EH4697106	1
T60	T60	"ALL.CM_INSTRUMENT.ACM.0_2_DE0001135390_0_,ALL.CM_INSTRUMENT.MPP.DE0001135390"	ACM=0_2_DE0001135390_0_|MPP=DE0001135390	DE0001135390	0	DBR 3.25 01/04/20	BUNDESREPUB. DEUTSCHLAND	15	Government		0	2	Cash	40	Open		DBR	2	Cash	0.01	COEI0354262				<ValidationErr><ValidationWarn>	0	0	0	20170724	128	20091113	1	EUR	0	20170724	DE	EI0354262	1
T61	T61	"ALL.CM_INSTRUMENT.ACM.0_2_DE0001135408_0_,ALL.CM_INSTRUMENT.MPP.DE0001135408"	ACM=0_2_DE0001135408_0_|MPP=DE0001135408	DE0001135408	0	DBR 3.0 07/04/20	BUNDESREPUB. DEUTSCHLAND	15	Government		0	2	Cash	40	Open		DBR	2	Cash	0.01	COEI2292098				<ValidationErr><ValidationWarn>	0	0	0	20170724	128	20100430	1	EUR	0	20170724	DE	EI2292098	1
T162	T162	"ALL.CM_INSTRUMENT.ACM.0_2_IT0001247342_0_,ALL.CM_INSTRUMENT.MPP.IT0001247342"	ACM=0_2_IT0001247342_0_|MPP=IT0001247342	IT0001247342	0	BTPSS 01/11/24	BUONI POLIENNALI STRIP	33	Government		0	2	Cash	40	Open		BTPSS	2	Cash	0.01	IT0001247342				<ValidationErr><ValidationWarn>	0	0	0	20170727	128	19980727	1	EUR	0	20170724	IT	CP5087954	1
T62	T62	"ALL.CM_INSTRUMENT.ACM.0_2_DE0001141562_0_,ALL.CM_INSTRUMENT.MPP.DE0001141562"	ACM=0_2_DE0001141562_0_|MPP=DE0001141562	DE0001141562	0	OBL 2.5 02/27/15	BUNDESOBLIGATION	16	Government		0	2	Cash	40	Open		OBL	2	Cash	0.01	COEI0991030				<ValidationErr><ValidationWarn>	0	0	0	20150227	128	20100115	1	EUR	0	20170724	DE	EI0991030	1
T64	T64	"ALL.CM_INSTRUMENT.ACM.0_2_DE0001142032_0_,ALL.CM_INSTRUMENT.MPP.DE0001142032"	ACM=0_2_DE0001142032_0_|MPP=DE0001142032	DE0001142032	0	DBRR 04/07/27	BUNDESREPUB. DEUTSCHLAND	15	Government		0	2	Cash	40	Open		DBRR	2	Cash	0.01	DE0001142032				<ValidationErr><ValidationWarn>	0	0	0	20170727	128	19970704	1	EUR	0	20170724	DE	GG7291980	1
T65	T65	"ALL.CM_INSTRUMENT.ACM.0_2_DE0001142073_0_,ALL.CM_INSTRUMENT.MPP.DE0001142073"	ACM=0_2_DE0001142073_0_|MPP=DE0001142073	DE0001142073	0	DBRR 04/07/28	BUNDESREPUB. DEUTSCHLAND	15	Government		0	2	Cash	40	Open		DBRR	2	Cash	0.01	DE0001142073				<ValidationErr><ValidationWarn>	0	0	0	20170727	128	19981009	1	EUR	0	20170724	DE	EC0518554	1
T66	T66	"ALL.CM_INSTRUMENT.ACM.0_2_DE0001142164_0_,ALL.CM_INSTRUMENT.MPP.DE0001142164"	ACM=0_2_DE0001142164_0_|MPP=DE0001142164	DE0001142164	0	DBRR 04/01/31	BUNDESREPUB. DEUTSCHLAND	15	Government		0	2	Cash	40	Open		DBRR	2	Cash	0.01	DE0001142164				<ValidationErr><ValidationWarn>	0	0	0	20170727	128	20001027	1	EUR	0	20170724	DE	EC3043139	1
T67	T67	"ALL.CM_INSTRUMENT.ACM.0_2_DE0001142214_0_,ALL.CM_INSTRUMENT.MPP.DE0001142214"	ACM=0_2_DE0001142214_0_|MPP=DE0001142214	DE0001142214	0	DBRR ZER 07/04/34	BUNDESREPUB. DEUTSCHLAND	15	Government		0	2	Cash	40	Open		DBRR	2	Cash	0.01	COEC8410143				<ValidationErr><ValidationWarn>	0	0	0	20170724	128	20030131	1	EUR	0	20170724	DE	EC8410143	1
T55	T55	ALL.CM_INSTRUMENT.MPP.DE0001135267	MPP=DE0001135267	DE0001135267	0	DBR 3.75 01/04/15	BUNDESREPUB. DEUTSCHLAND	15	Government		0	2	Cash	40	Open		DBR	2	Cash	0.01	COED6982216				<ValidationErr><ValidationWarn>	0	0	0	20150104	128	20041126	1	EUR	0	20170724	DE	ED6982216	1
T68	T68	"ALL.CM_INSTRUMENT.ACM.0_2_DE0001142487_0_,ALL.CM_INSTRUMENT.ASTP.CASH_2_DE0001142487_0,ALL.CM_INSTRUMENT.MPP.DE0001142487"	ACM=0_2_DE0001142487_0_|ASTP=CASH_2_DE0001142487_0|MPP=DE0001142487	DE0001142487	0	DBRS 04/01/15	BUNDESREPUB. DEUTSCHLAND	15	Government		0	2	Cash	40	Open		DBRS	2	Cash	0.01	DE0001142487				<ValidationErr><ValidationWarn>	0	0	0	20150104	128	19970704	1	EUR	0	20170724	DE	GG7292095	1
T69	T69	"ALL.CM_INSTRUMENT.ACM.0_2_DE0001142495_0_,ALL.CM_INSTRUMENT.MPP.DE0001142495"	ACM=0_2_DE0001142495_0_|MPP=DE0001142495	DE0001142495	0	DBRS 04/01/16	BUNDESREPUB. DEUTSCHLAND	15	Government		0	2	Cash	40	Open		DBRS	2	Cash	0.01	DE0001142495				<ValidationErr><ValidationWarn>	0	0	0	20160104	128	19970704	1	EUR	0	20170724	DE	GG7292103	1
T71	T71	"ALL.CM_INSTRUMENT.ACM.0_2_DE0001142511_0_,ALL.CM_INSTRUMENT.MPP.DE0001142511"	ACM=0_2_DE0001142511_0_|MPP=DE0001142511	DE0001142511	0	DBRS 04/01/18	BUNDESREPUB. DEUTSCHLAND	15	Government		0	2	Cash	40	Open		DBRS	2	Cash	0.01	DE0001142511				<ValidationErr><ValidationWarn>	0	0	0	20170727	128	19970704	1	EUR	0	20170724	DE	GG7292137	1
T74	T74	"ALL.CM_INSTRUMENT.ACM.0_2_DE0001142602_0_,ALL.CM_INSTRUMENT.MPP.DE0001142602"	ACM=0_2_DE0001142602_0_|MPP=DE0001142602	DE0001142602	0	DBRS 04/01/27	BUNDESREPUB. DEUTSCHLAND	15	Government		0	2	Cash	40	Open		DBRS	2	Cash	0.01	DE0001142602				<ValidationErr><ValidationWarn>	0	0	0	20170727	128	19980105	1	EUR	0	20170724	DE	GG7295031	1
T75	T75	"ALL.CM_INSTRUMENT.ACM.0_2_DE0001142628_0_,ALL.CM_INSTRUMENT.MPP.DE0001142628"	ACM=0_2_DE0001142628_0_|MPP=DE0001142628	DE0001142628	0	DBRS 04/01/29	BUNDESREPUB. DEUTSCHLAND	15	Government		0	2	Cash	40	Open		DBRS	2	Cash	0.01	DE0001142628				<ValidationErr><ValidationWarn>	0	0	0	20170727	128	20000121	1	EUR	0	20170724	DE	EC2187465	1
T76	T76	"ALL.CM_INSTRUMENT.ACM.0_2_DE0001142636_0_,ALL.CM_INSTRUMENT.MPP.DE0001142636"	ACM=0_2_DE0001142636_0_|MPP=DE0001142636	DE0001142636	0	DBRS 04/01/30	BUNDESREPUB. DEUTSCHLAND	15	Government		0	2	Cash	40	Open		DBRS	2	Cash	0.01	DE0001142636				<ValidationErr><ValidationWarn>	0	0	0	20170727	128	20000121	1	EUR	0	20170724	DE	EC2187481	1
T78	T78	"ALL.CM_INSTRUMENT.ACM.0_2_DE0001142644_0_,ALL.CM_INSTRUMENT.MPP.DE0001142644"	ACM=0_2_DE0001142644_0_|MPP=DE0001142644	DE0001142644	0	DBRS ZER 01/04/31	BUNDESREPUB. DEUTSCHLAND	15	Government		0	2	Cash	40	Open		DBRS	2	Cash	0.01	COEC3043154				<ValidationErr><ValidationWarn>	0	0	0	20170724	128	20001027	1	EUR	0	20170724	DE	EC3043154	1
T77	T77	"ALL.CM_INSTRUMENT.ACM.0_2_DE0001143170_0_,ALL.CM_INSTRUMENT.MPP.DE0001143170"	ACM=0_2_DE0001143170_0_|MPP=DE0001143170	DE0001143170	0	DBRS 04/07/14	BUNDESREPUB. DEUTSCHLAND	15	Government		0	2	Cash	40	Open		DBRS	2	Cash	0.01	DE0001143170				<ValidationErr><ValidationWarn>	0	0	0	20140704	128	19970704	1	EUR	0	20170724	DE	GG7292343	1
T79	T79	"ALL.CM_INSTRUMENT.ACM.0_2_DE0001143188_0_,ALL.CM_INSTRUMENT.MPP.DE0001143188"	ACM=0_2_DE0001143188_0_|MPP=DE0001143188	DE0001143188	0	DBRS 04/07/15	BUNDESREPUB. DEUTSCHLAND	15	Government		0	2	Cash	40	Open		DBRS	2	Cash	0.01	DE0001143188				<ValidationErr><ValidationWarn>	0	0	0	20150704	128	19970704	1	EUR	0	20170724	DE	GG7292350	1
T80	T80	"ALL.CM_INSTRUMENT.ACM.0_2_DE0001143238_0_,ALL.CM_INSTRUMENT.MPP.DE0001143238"	ACM=0_2_DE0001143238_0_|MPP=DE0001143238	DE0001143238	0	DBRS 04/07/20	BUNDESREPUB. DEUTSCHLAND	15	Government		0	2	Cash	40	Open		DBRS	2	Cash	0.01	DE0001143238				<ValidationErr><ValidationWarn>	0	0	0	20170727	128	19970704	1	EUR	0	20170724	DE	GG7291907	1
T81	T81	"ALL.CM_INSTRUMENT.ACM.0_2_DE0001143261_0_,ALL.CM_INSTRUMENT.MPP.DE0001143261"	ACM=0_2_DE0001143261_0_|MPP=DE0001143261	DE0001143261	0	DBRS 04/07/23	BUNDESREPUB. DEUTSCHLAND	15	Government		0	2	Cash	40	Open		DBRS	2	Cash	0.01	DE0001143261				<ValidationErr><ValidationWarn>	0	0	0	20170727	128	19970704	1	EUR	0	20170724	DE	GG7291931	1
T164	T164	"ALL.CM_INSTRUMENT.ACM.0_2_IT0001247375_0_,ALL.CM_INSTRUMENT.MPP.IT0001247375"	ACM=0_2_IT0001247375_0_|MPP=IT0001247375	IT0001247375	0	BTPSS 01/05/26	BUONI POLIENNALI STRIP	33	Government		0	2	Cash	40	Open		BTPSS	2	Cash	0.01	IT0001247375				<ValidationErr><ValidationWarn>	0	0	0	20170727	128	19980727	1	EUR	0	20170724	IT	CP5087988	1
T83	T83	"ALL.CM_INSTRUMENT.ACM.0_2_DE0001143303_0_,ALL.CM_INSTRUMENT.MPP.DE0001143303"	ACM=0_2_DE0001143303_0_|MPP=DE0001143303	DE0001143303	0	DBRS 04/07/27	BUNDESREPUB. DEUTSCHLAND	15	Government		0	2	Cash	40	Open		DBRS	2	Cash	0.01	DE0001143303				<ValidationErr><ValidationWarn>	0	0	0	20170727	128	19970704	1	EUR	0	20170724	DE	GG7291972	1
T84	T84	"ALL.CM_INSTRUMENT.ACM.0_2_DE0001143337_0_,ALL.CM_INSTRUMENT.MPP.DE0001143337"	ACM=0_2_DE0001143337_0_|MPP=DE0001143337	DE0001143337	0	DBRS 04/07/30	BUNDESREPUB. DEUTSCHLAND	15	Government		0	2	Cash	40	Open		DBRS	2	Cash	0.01	DE0001143337				<ValidationErr><ValidationWarn>	0	0	0	20170727	128	20030131	1	EUR	0	20170724	DE	EC8410309	1
T85	T85	"ALL.CM_INSTRUMENT.ACM.0_2_DE0001143360_0_,ALL.CM_INSTRUMENT.MPP.DE0001143360"	ACM=0_2_DE0001143360_0_|MPP=DE0001143360	DE0001143360	0	DBRS 04/07/33	BUNDESREPUB. DEUTSCHLAND	15	Government		0	2	Cash	40	Open		DBRS	2	Cash	0.01	DE0001143360				<ValidationErr><ValidationWarn>	0	0	0	20170727	128	20030131	1	EUR	0	20170724	DE	EC8410549	1
T90	T90	"ALL.CM_INSTRUMENT.ACM.0_2_ES0000011876_0_,ALL.CM_INSTRUMENT.MPP.ES0000011876"	ACM=0_2_ES0000011876_0_|MPP=ES0000011876	ES0000011876	0	SPGBR ZERO 01/29	BON Y OBLI EST PRINCIPAL	20	Government		0	2	Cash	40	Open		SPGBR	2	Cash	0.01	ES0000011876				<ValidationErr><ValidationWarn>	0	0	0	20170724	128	19980505	1	EUR	0	20170724	ES	CP5061561	1
T93	T93	"ALL.CM_INSTRUMENT.ACM.0_2_ES0000012007_0_,ALL.CM_INSTRUMENT.MPP.ES0000012007"	ACM=0_2_ES0000012007_0_|MPP=ES0000012007	ES0000012007	0	SPGBS 31/01/26	BON Y OBLIG ESTADO STRIP	19	Government		0	2	Cash	40	Open		SPGBS	2	Cash	0.01	ES0000012007				<ValidationErr><ValidationWarn>	0	0	0	20170727	128	19980505	1	EUR	0	20170724	ES	CP5061462	1
T92	T92	"ALL.CM_INSTRUMENT.ACM.0_2_ES0000012098_0_,ALL.CM_INSTRUMENT.MPP.ES0000012098"	ACM=0_2_ES0000012098_0_|MPP=ES0000012098	ES0000012098	0	SPGB 4.75 07/30/14	Spain	21	Government		0	2	Cash	40	Open		SPGB	2	Cash	0.01	COEC0729771				<ValidationErr><ValidationWarn>	0	0	0	20140730	128	19981207	1	EUR	0	20170724	ES	EC0729771	1
T94	T94	"ALL.CM_INSTRUMENT.ACM.0_2_ES00000121G2_0_,ALL.CM_INSTRUMENT.MPP.ES00000121G2"	ACM=0_2_ES00000121G2_0_|MPP=ES00000121G2	ES00000121G2	0	SPGB 4.8 01/31/24	BONOS Y OBLIG DEL ESTADO	22	Government		0	2	Cash	40	Open		SPGB	2	Cash	0.01	COEH5475882				<ValidationErr><ValidationWarn>	0	0	0	20170724	128	20080916	1	EUR	0	20170724	ES	EH5475882	1
T98	T98	"ALL.CM_INSTRUMENT.ACM.0_2_ES0000012916_0_,ALL.CM_INSTRUMENT.MPP.ES0000012916"	ACM=0_2_ES0000012916_0_|MPP=ES0000012916	ES0000012916	0	SPGB 4.4 01/31/15	BONOS Y OBLIG DEL ESTADO	22	Government		0	2	Cash	40	Open		SPGB	2	Cash	0.01	COED5175986				<ValidationErr><ValidationWarn>	0	0	0	20150131	128	20040628	1	EUR	0	20170724	ES	ED5175986	1
T96	T96	"ALL.CM_INSTRUMENT.ACM.0_2_FI0001006462_0_,ALL.CM_INSTRUMENT.MPP.FI0001006462"	ACM=0_2_FI0001006462_0_|MPP=FI0001006462	FI0001006462	0	RFGB 3.125 09/15/14	Finland	23	Government		0	2	Cash	40	Open		RFGB	2	Cash	0.01	COEH7605205				<ValidationErr><ValidationWarn>	0	0	0	20140915	128	20090323	1	EUR	0	20170724	FI	EH7605205	1
T97	T97	"ALL.CM_INSTRUMENT.ACM.0_2_FR0000187361_0_,ALL.CM_INSTRUMENT.MPP.FR0000187361"	ACM=0_2_FR0000187361_0_|MPP=FR0000187361	FR0000187361	0	FRTR 5.0 10/25/16	France	24	Government		0	2	Cash	40	Open		FRTR	2	Cash	0.01	COEC3354221				<ValidationErr><ValidationWarn>	0	0	0	20161025	128	20010206	1	EUR	0	20170724	FR	EC3354221	1
